答题序号,Q1_假设您参与一个相亲活动，下面的”一“为15位男嘉宾，请按好感度从高到低排序：,Q2_对于最喜欢的”一“，为何喜欢？,Q3_对于最讨厌的”一“，为何讨厌？,开始时间,提交时间,答题时长
1,第1位:H|第10位:B|第11位:G|第12位:L|第13位:C|第14位:I|第15位:N|第2位:F|第3位:K|第4位:M|第5位:A|第6位:O|第7位:J|第8位:D|第9位:E,笔画端正还有点小特色,有缺陷,2022-04-26 10:49:28,2022-04-26 10:56:24,06分56秒
2,第1位:H|第10位:L|第11位:D|第12位:G|第13位:E|第14位:I|第15位:J|第2位:F|第3位:O|第4位:A|第5位:B|第6位:K|第7位:N|第8位:C|第9位:M,整体匀称，没有过分粗壮也没有过分纤细，给人外形很好的感觉。有力量的同时有有一定弧度，让人感觉有力量有担当的同时又不乏温柔，性格温和阳光。,线条过于粗壮生硬，给人感觉比较肥硕健壮，不清新。给人一种比较凶猛的感觉，很有距离感。让人有眉形锋利，很严肃，容易发怒的感觉。,2022-04-26 11:07:13,2022-04-26 11:21:20,14分07秒
3,第1位:B|第10位:K|第11位:E|第12位:J|第13位:N|第14位:O|第15位:I|第2位:D|第3位:M|第4位:G|第5位:F|第6位:A|第7位:H|第8位:C|第9位:L,觉得比较绅士、优雅，彬彬有礼,觉得油嘴滑舌，比较做作,2022-04-26 11:59:50,2022-04-26 12:02:50,03分00秒
4,第1位:A|第10位:J|第11位:E|第12位:I|第13位:G|第14位:C|第15位:N|第2位:O|第3位:L|第4位:F|第5位:M|第6位:D|第7位:B|第8位:H|第9位:K,有笔锋，下笔干脆且干净,下笔不够果断，看起来有点别扭,2022-04-26 12:35:45,2022-04-26 12:40:22,04分37秒
5,第1位:L|第10位:C|第11位:O|第12位:N|第13位:D|第14位:J|第15位:E|第2位:A|第3位:B|第4位:M|第5位:H|第6位:F|第7位:K|第8位:G|第9位:I,干净整洁,不好看,2022-04-26 13:07:48,2022-04-26 13:11:11,03分23秒
6,第1位:L|第10位:D|第11位:O|第12位:J|第13位:K|第14位:G|第15位:N|第2位:C|第3位:B|第4位:A|第5位:H|第6位:F|第7位:I|第8位:M|第9位:E,匀称,有一半没墨了的感觉,2022-04-26 13:20:05,2022-04-26 13:24:21,04分16秒
7,第1位:H|第10位:N|第11位:J|第12位:L|第13位:G|第14位:E|第15位:D|第2位:A|第3位:O|第4位:F|第5位:M|第6位:I|第7位:K|第8位:B|第9位:C,顺滑有力,缺少变化,2022-04-26 13:28:43,2022-04-26 13:31:42,02分59秒
8,第1位:A|第10位:O|第11位:N|第12位:M|第13位:E|第14位:D|第15位:J|第2位:L|第3位:C|第4位:H|第5位:F|第6位:G|第7位:B|第8位:K|第9位:I,很清秀,比较粗糙,2022-04-26 13:31:02,2022-04-26 13:34:04,03分02秒
9,第1位:L|第10位:K|第11位:J|第12位:I|第13位:O|第14位:E|第15位:G|第2位:C|第3位:M|第4位:F|第5位:H|第6位:A|第7位:B|第8位:N|第9位:D,骨感，有韧劲,缺点感觉,2022-04-26 13:27:43,2022-04-26 13:35:48,08分05秒
10,第1位:A|第10位:K|第11位:E|第12位:G|第13位:I|第14位:J|第15位:D|第2位:L|第3位:C|第4位:H|第5位:M|第6位:B|第7位:O|第8位:N|第9位:F,笔画有力，并且富有美感和技巧，笔锋和顿笔恰到好处,笔画没有单一变化,2022-04-26 13:34:25,2022-04-26 13:40:46,06分21秒
11,第1位:I|第10位:G|第11位:K|第12位:E|第13位:M|第14位:D|第15位:J|第2位:L|第3位:C|第4位:B|第5位:A|第6位:H|第7位:N|第8位:F|第9位:O,笔画间流露出一种十分飘逸洒脱的感觉，我想这种透露出来的性格会很好相处，不拘小节，不会因为一些事情而争吵，很灵活,整体感觉很厚重老成，也许性格会比较迂腐不懂变通比较执拗，常常争吵钻牛角尖,2022-04-26 13:34:38,2022-04-26 13:40:59,06分21秒
12,第1位:N|第10位:D|第11位:M|第12位:O|第13位:J|第14位:C|第15位:L|第2位:G|第3位:E|第4位:H|第5位:B|第6位:F|第7位:A|第8位:I|第9位:K,笔势流畅顺滑，有力度感，却又不过分厚重，有轻盈感,结构看起来不舒服，前重后轻的感觉,2022-04-26 13:34:33,2022-04-26 13:41:11,06分38秒
13,第1位:A|第10位:I|第11位:F|第12位:N|第13位:K|第14位:E|第15位:J|第2位:B|第3位:C|第4位:L|第5位:H|第6位:G|第7位:O|第8位:M|第9位:D,线条很美很流畅，顿笔很好看，,左边的顿笔太尖锐，整体太粗壮,2022-04-26 13:39:12,2022-04-26 13:41:27,02分15秒
14,第1位:I|第10位:B|第11位:E|第12位:J|第13位:M|第14位:N|第15位:D|第2位:H|第3位:L|第4位:C|第5位:K|第6位:F|第7位:G|第8位:A|第9位:O,很帅很潇洒，很有力量感,粗粗的没有力道，也没有曲线变化,2022-04-26 13:41:02,2022-04-26 13:44:22,03分20秒
15,第1位:A|第10位:K|第11位:O|第12位:J|第13位:M|第14位:D|第15位:F|第2位:I|第3位:N|第4位:B|第5位:C|第6位:G|第7位:E|第8位:L|第9位:H,有力，好看,有些刻板,2022-04-26 13:40:07,2022-04-26 13:45:11,05分04秒
16,第1位:I|第10位:E|第11位:O|第12位:C|第13位:L|第14位:N|第15位:G|第2位:A|第3位:H|第4位:B|第5位:K|第6位:F|第7位:J|第8位:M|第9位:D,流畅，弯曲,整体太细，收笔有些刻意,2022-04-26 13:46:45,2022-04-26 13:50:12,03分27秒
17,第1位:H|第10位:E|第11位:F|第12位:D|第13位:G|第14位:C|第15位:N|第2位:A|第3位:B|第4位:M|第5位:J|第6位:K|第7位:I|第8位:L|第9位:O,起笔有锋芒，收尾圆滑,笔画粗细变化的太突然,2022-04-26 13:47:33,2022-04-26 14:03:57,16分24秒
18,第1位:A|第10位:M|第11位:D|第12位:K|第13位:J|第14位:E|第15位:N|第2位:G|第3位:F|第4位:H|第5位:O|第6位:B|第7位:C|第8位:I|第9位:L,最喜欢的第一个，是因为它由提笔收笔的整个过程，且由明显的运笔动态，整体笔墨的分布也很均匀，在个人的认知中，认为比较符合楷体规范，所以比较喜欢。,算不上最讨厌，可能知识觉得这个一的笔墨分布不太同意，主观意愿上觉得很奇怪，或许这个一放在一整个作品中也还算好看的。,2022-04-26 10:39:54,2022-04-26 14:39:41,239分47秒
19,第1位:K|第10位:G|第11位:A|第12位:H|第13位:N|第14位:I|第15位:O|第2位:B|第3位:F|第4位:M|第5位:J|第6位:D|第7位:L|第8位:C|第9位:E,沉稳而不失圆润，如果是人会比较踏实，脾气好,开头分叉，结尾顿挫感突兀，给人的感觉充满负面情绪且独立感强,2022-04-26 14:21:31,2022-04-26 14:44:03,22分32秒
